,Category,Reasoning Type,gpt4o,claude3.5sonnet,llama3.1405B,gemini1.5pro,mistral2large
1348,REPLACEMENT,semantic relations,1,1,0,0,1
1349,BOWLING,semantic relations,1,0,0,1,0
1350,COMMON MERCH ITEMS,associative relations,1,0,0,0,0
1351,NUMBER HOMOPHONES,phonology,1,0,0,0,0
1352,WEB BROWSER-RELATED,encyclopedic,1,1,0,0,0
1353,SHIRT FEATURES,semantic relations,1,1,0,1,0
1354,CONNECTION,semantic relations,1,1,1,1,0
1355,DIRTY    _,multiword expressions,1,0,0,0,0
1356,INTELLIGENT,semantic relations,0,0,0,0,0
1357,AIRLINES,encyclopedic,0,0,0,0,0
1358,WESTERN TROPES,encyclopedic,0,0,0,1,0
1359,TV SHOW TITLE SURNAMES,encyclopedic,0,0,0,0,0
1360,FRUITS,semantic relations,1,0,1,0,1
1361,LUXURIOUS,semantic relations,1,1,1,1,0
1362,BEST ACTRESS OSCAR WINNERS,encyclopedic,0,0,0,0,0
1363,"WHAT ""GREEN"" MIGHT MEAN",semantic relations,0,0,0,0,0
1364,FAIRY TALE FIGURES,associative relations,1,1,0,0,1
1365,CHESS TERMS,encyclopedic,1,1,1,1,1
1366,"PEANUTS"" CHARACTERS",encyclopedic,0,0,0,0,0
1367,I LOVE    _,multiword expressions,0,0,0,0,0
1368,BOVIDS,semantic relations,0,0,0,0,0
1369,EMIT LIGHT,semantic relations,1,1,1,1,1
1370,GYMNASTICS APPARATUS,encyclopedic,0,0,0,0,0
1371,WORDS THAT SOUND LIKE TWO LETTERS,phonology,0,0,0,0,0
1372,EYE PARTS,semantic relations,1,1,1,1,1
1373,COUNTERFEIT,semantic relations,1,1,1,1,1
1374,RADIO LINGO,encyclopedic,0,0,0,0,0
1375,SONGS THAT ARE NAMES,encyclopedic,0,0,0,0,0
1376,SKEDADDLE!,semantic relations,0,1,1,1,0
1377,PRONOUNS,semantic relations,1,1,1,0,1
1378,ANAGRAMS,orthography,0,0,0,0,0
1379,_ BABY,multiword expressions,0,0,0,0,0
1380,HOT DRINKS,semantic relations,1,1,1,0,1
1381,ANIMAL SOUNDS,semantic relations,0,0,0,0,0
1382,TREE FEATURES,semantic relations,0,0,0,1,0
1383,INSIDE INFO,semantic relations,0,0,0,0,0
1384,HALLOWEEN DECORATIONS,associative relations,0,0,1,0,0
1385,TV SHOWS,encyclopedic,0,0,0,0,0
1386,SLOT MACHINE SYMBOLS,encyclopedic,0,0,1,0,0
1387,NUMBERS IN BOOK TITLES,encyclopedic,0,0,0,0,0
1388,AMAZON ANIMALS,encyclopedic,0,1,1,0,0
1389,LOWEST POINT,semantic relations,0,0,0,0,0
1390,MUSICALS,encyclopedic,0,0,0,0,0
1391,SEA    _,multiword expressions,0,0,0,0,0
1392,BASEBALL CALLS,semantic relations,0,0,0,1,0
1393,HEAT SOURCES,semantic relations,1,1,1,1,1
1394,FISH THAT ARE VERBS,word meaning + word form,0,0,0,0,0
1395,"SILENT ""L",phonology,0,0,0,0,0
1396,INHERENT NATURE,semantic relations,0,1,0,0,0
1397,FERMENETED ALCOHOLIC BEVERAGES,semantic relations,0,0,0,0,0
1398,PIXAR MOVIES,encyclopedic,0,1,0,0,0
1399,_ TAPE,multiword expressions,0,0,0,0,0
1400,ROCKY HORROR PICTURE SHOW,encyclopedic,0,1,0,0,0
1401,WHO FRAMED ROGER RABBIT,encyclopedic,0,0,0,0,0
1402,WHEN HARRY MET SALLY,encyclopedic,0,0,0,0,0
1403,MAD MAX FURY ROAD,encyclopedic,0,0,0,0,0
1404,CREATURES IN FOLKLORE,encyclopedic,0,0,0,1,1
1405,FLOWER PARTS,semantic relations,1,1,0,1,0
1406,ONE INVOLVED IN ESPIONAGE,semantic relations,1,0,0,0,0
1407,CHINESE ZODIAC ANIMALS,encyclopedic,0,0,0,0,1
1408,INFORMATION DISPLAYS,semantic relations,1,1,0,0,1
1409,ADDITIONAL BENEFIT,semantic relations,0,0,0,0,0
1410,THANKSGIVING FOOD,semantic relations,0,0,0,1,0
1411,SONG TITLES WITH PARENTHESES,encyclopedic,0,0,0,0,0
1412,PAINTING ACCESSORIES,associative relations,1,1,1,0,1
1413,AUTOMATIC TRANSMISSION SETTINGS,encyclopedic,0,0,0,0,0
1414,THINGS WITH TEETH,associative relations,0,0,0,0,0
1415,_ CHAIR,multiword expressions,0,0,0,0,0
1416,FEMALE ANIMALS,semantic relations,1,0,0,1,0
1417,PRONOUNS,semantic relations,0,0,0,0,0
1418,ROMAN NUMERALS,semantic relations,0,0,0,0,0
1419,HOMOPHONES,phonology,1,0,0,0,0
1420,AU NATUREL,semantic relations,1,1,1,1,1
1421,BAKED GOODS,semantic relations,1,1,1,0,1
1422,AMERICAN FOOTBALL ACTIONS,encyclopedic,1,1,1,0,1
1423,MANICURE STEPS,semantic relations,0,0,0,0,0
1424,DRINK VESSELS,semantic relations,1,0,1,1,1
1425,WOODWINDS,semantic relations,0,0,0,0,0
1426,AMERICAN POETS,encyclopedic,0,0,0,0,0
1427,CONSECUTIVE DOUBLE LETTERS,orthography,0,0,0,0,0
1428,APPETIZER UNIT,semantic relations,0,0,0,0,0
1429,RESPONSE TO A CORRECT ANSWER,semantic relations,1,1,1,0,0
1430,MAR,semantic relations,1,1,0,0,0
1431,_JACK,multiword expressions,0,0,0,0,0
1432,PLAYGROUND FIXTURES,semantic relations,0,1,1,0,1
1433,INFLUENCE,semantic relations,0,0,0,0,0
1434,EGYPTIAN SYMBOLS,encyclopedic,0,0,0,0,1
1435,FONTS,encyclopedic,0,0,0,0,0
1436,DEPART QUICKLY,semantic relations,0,0,0,0,0
1437,ANIMALS THAT END WITH X,semantic relations,1,1,0,0,1
1438,SHADES OF BLACK,semantic relations,1,0,1,0,0
1439,WORDS BEFORE DAYS OF THE WEEK,associative relations,0,0,0,0,0
1440,STATES OF ELATION,semantic relations,1,1,1,1,1
1441,SCAM,semantic relations,1,1,1,1,1
1442,GREETING GESTURES,semantic relations,1,1,1,0,1
1443,_ LIST,multiword expressions,0,1,0,1,0
1444,POULTRY CUTS,semantic relations,0,1,0,0,0
1445,GOLF TERMS,encyclopedic,1,1,0,0,0
1446,DRUM SET COMPONENTS,semantic relations,0,1,0,0,0
1447,"ASSOCIATED WITH ""CRAWL",associative relations,0,0,0,0,0
1448,BOARD GAMES,encyclopedic,0,0,0,0,0
1449,NEWSPAPER SECTIONS,semantic relations,0,0,0,0,0
1450,FIGURES IN GREEK MYTH,encyclopedic,0,0,0,0,0
1451,ADJECTIVES IN RAPPERS' NAMES,encyclopedic,0,0,0,0,0
1452,SOCIAL GATHERING,semantic relations,1,1,1,1,1
1453,"PINOCCHIO"" FIGURES",encyclopedic,0,0,0,0,0
1454,FOUND IN A KITCHEN,associative relations,1,0,0,1,0
1455,EASTER    _,multiword expressions,0,0,0,0,0
1456,EXTINCT ANIMALS,encyclopedic,1,1,1,0,1
1457,FAILURES,semantic relations,1,1,0,0,0
1458,SLANG FOR CLOTHES,semantic relations,1,1,0,1,1
1459,KISS,semantic relations,0,1,1,1,0
1460,FACIAL HAIR,semantic relations,0,1,1,1,1
1461,BIKE PARTS,semantic relations,0,1,1,1,1
1462,PURSUE,semantic relations,0,0,0,0,0
1463,THINGS THAT ARE CAST,associative relations,0,0,0,0,0
1464,PERFORMING ARTISTS,semantic relations,0,1,1,1,1
1465,SANTA'S REINDEER,encyclopedic,0,1,0,0,0
1466,SEEN ON VALENTINE'S DAY,associative relations,1,1,0,0,0
1467,"BAD    _"" MOVIES",multiword expressions,0,0,0,0,0
1468,U.S. MOUNTAIN STATES,encyclopedic,0,0,1,0,0
1469,SODA BRANDS,encyclopedic,1,1,1,0,0
1470,CLASSIC ROCK BANDS,encyclopedic,1,0,0,0,0
1471,TONY    _,multiword expressions,0,0,0,0,0
1472,CAMPING SUPPLIES,semantic relations,0,0,1,0,0
1473,INSULT,semantic relations,0,1,0,1,0
1474,TINY,semantic relations,0,1,0,1,0
1475,HAPPY    _,multiword expressions,0,0,0,0,0
1476,FRIEND,semantic relations,1,1,1,1,1
1477,COOKWEAR,semantic relations,0,1,1,1,1
1478,SHOES,semantic relations,1,1,1,0,0
1479,SLANG FOR CANNABIS,semantic relations,0,1,1,0,0
1480,UNITS OF VOLUME,semantic relations,1,1,0,0,1
1481,EXTREMELY,semantic relations,0,0,1,0,0
1482,WORLD CURRENCIES,encyclopedic,0,0,0,0,0
1483,_ CAKE,multiword expressions,0,0,0,0,0
1484,DESSERTS,semantic relations,0,0,1,0,0
1485,OCCUPATIONAL SURNAMES,encyclopedic,0,0,1,0,0
1486,ALTER DECEPTIVELY,semantic relations,0,1,0,0,0
1487,SQUARE    _,multiword expressions,0,1,0,0,0
1488,TIME PERIODS,semantic relations,0,0,0,1,0
1489,BREAKFAST FOODS,semantic relations,1,0,1,0,0
1490,PAINTERS,encyclopedic,0,0,0,0,0
1491,ONE IN A DOZEN,associative relations,0,0,0,1,0
1492,STATES OF MATTER,semantic relations,1,1,1,1,1
1493,ENERGY,semantic relations,1,1,0,0,0
1494,CLASSICAL ELEMENTS,semantic relations,1,1,0,1,0
1495,THINGS WITH RINGS,associative relations,0,1,0,0,0
1496,CLASSIC DOG NAMES,associative relations,0,0,0,0,0
1497,PERCEIVE,semantic relations,0,0,0,0,0
1498,FISHING TERMS,semantic relations,0,0,0,0,0
1499,T- _,multiword expressions,0,0,0,0,0
1500,FASTENING VERBS,semantic relations,1,1,1,1,0
1501,SLANG FOR ZERO,semantic relations,0,0,0,0,0
1502,GYM EXERCISES,semantic relations,0,0,0,0,0
1503,CAPTAINS,encyclopedic,0,0,0,0,0
1504,STATE ABBREVIATIONS,encyclopedic,0,0,0,0,0
1505,MUSICAL NOTES,encyclopedic,1,1,0,0,0
1506,GREEK LETTERS,encyclopedic,1,1,1,0,0
1507,PERIODIC TABLE SYMBOLS,encyclopedic,0,0,0,0,0
1508,THEORETICAL PHYSICISTS,encyclopedic,1,1,1,1,1
1509,TALENT,semantic relations,1,1,0,1,1
1510,AUSTRALIAN TERMS,encyclopedic,0,1,1,0,0
1511,_ POINT,multiword expressions,0,0,0,0,0
1512,HORROR FRANCHISES,encyclopedic,1,1,1,0,0
1513,SPORTS VENUES,semantic relations,0,0,1,1,0
1514,MAKE HAPPY,semantic relations,1,1,1,0,1
1515,JEWELRY,semantic relations,1,0,1,1,1
1516,UNSPECIFIED QUANTITIES,semantic relations,0,1,1,0,1
1517,NEWSPAPERS,encyclopedic,0,0,1,0,0
1518,CELESTIAL OBJECTS,semantic relations,1,1,1,0,1
1519,FRUIT HOMOPHONES,word meaning + word form,0,0,1,0,0
1520,ARACHNIDS,semantic relations,0,1,0,0,0
1521,FISH,semantic relations,0,0,0,0,0
1522,SUPERHEROES,encyclopedic,0,0,0,0,0
1523,MTV SHOWS,encyclopedic,0,0,0,0,0
1524,MOVIE GENRES,semantic relations,0,1,1,1,1
1525,PATTERNS,semantic relations,0,1,1,0,1
1526,SYNONYMS FOR FALSEHOOD,semantic relations,0,0,0,0,0
1527,CANDY PIECES,encyclopedic,0,0,0,0,0
1528,CLASSIC ARCADE GAMES,encyclopedic,1,1,1,1,0
1529,DANCES,semantic relations,1,1,1,0,1
1530,TOUCHSCREEN GESTURES,semantic relations,0,1,1,0,0
1531,RAPPERS MINUS NUMBERS,word meaning + word form,0,0,1,0,0
1532,CLASSIC TOYS,semantic relations,1,0,1,0,1
1533,WORDS WITH THREE G'S,orthography,0,0,0,0,0
1534,SHAKESPEARE CHARACTERS,encyclopedic,1,0,1,0,0
1535,_ STICK,multiword expressions,0,0,0,0,0
1536,PLACES FOR WORSHIP,semantic relations,1,0,0,0,0
1537,CARTOON CATS,encyclopedic,1,1,1,1,1
1538,PRESIDENTIAL FIRST NAMES,encyclopedic,1,0,0,0,0
1539,_ ROAD,multiword expressions,0,1,0,0,0
1540,ANIMAL GROUP NAMES,semantic relations,1,0,1,1,1
1541,STONED,semantic relations,0,1,0,1,0
1542,AP CLASSES,word meaning + word form,0,1,0,0,0
1543,TAXONOMY RANKS,semantic relations,0,0,0,0,0
1544,COMPUTER EQUIPMENT,semantic relations,1,1,0,1,0
1545,RODENTS,semantic relations,1,1,0,1,1
1546,MUSICAL INSTRUMENTS,semantic relations,1,1,1,0,0
1547,SYNONYMS FOR COMPLAIN,semantic relations,1,1,1,1,0
1548,LONG SANDWICHES,semantic relations,1,1,1,1,1
1549,DATING APPS,semantic relations,1,1,0,1,0
1550,VAMPIRE MOVIES,encyclopedic,0,1,1,1,1
1551,ADAMS,encyclopedic,0,0,0,0,0
1552,UNITS OF LENGTH,semantic relations,0,1,1,1,0
1553,TYPES OF PAINT,semantic relations,1,1,1,1,1
1554,DEEP-FRIED FOOD,semantic relations,1,1,1,1,1
1555,STARTS OF U.S. COINS,word meaning + word form,0,0,0,0,0
1556,RELATIVES,semantic relations,0,0,1,0,0
1557,SYNONYMS FOR OFFBEAT,semantic relations,1,1,1,1,0
1558,DISNEY DUCKS,encyclopedic,0,1,1,1,0
1559,_ CLOCK,multiword expressions,0,0,1,0,0
1560,FABRICS,semantic relations,1,1,1,1,1
1561,APPARITIONS,semantic relations,1,0,0,0,1
1562,SYNONYMS FOR BOTHER,semantic relations,0,0,0,0,0
1563,DISNEY CHARACTERS,encyclopedic,0,0,0,0,0
1564,BIOMES,semantic relations,1,1,1,1,1
1565,LIZARDS,semantic relations,0,0,1,0,0
1566,YOGA POSES,associative relations,0,1,0,0,0
1567,DANCES WHEN DOUBLED,word meaning + word form,0,0,0,0,0
1568,MOVIE TITLE CITIES,encyclopedic,0,1,1,1,0
1569,FASHION MAGAZINES,encyclopedic,1,1,0,0,0
1570,STORMS,semantic relations,0,0,0,0,0
1571,COCKTAILS,encyclopedic,0,0,0,0,0
1572,MODES OF TRANSPORTATION,semantic relations,1,1,0,1,1
1573,NBA PLAYERS,encyclopedic,0,0,0,0,0
1574,FAST FOOD CHAINS,encyclopedic,0,1,0,0,0
1575,BAND NAMES MINUS COLORS,word meaning + word form,0,0,0,0,0
1576,STATES OF MATTER,semantic relations,1,1,1,1,1
1577,EDIT MENU COMMANDS,semantic relations,0,1,1,0,1
1578,DEFEAT BADLY,semantic relations,0,0,0,0,0
1579,ANAGRAMS,orthography,0,0,0,0,0
1580,SYNONYMS FOR ANGRY,semantic relations,1,1,0,1,0
1581,THINGS THAT ARE YELLOW,associative relations,0,1,0,0,0
1582,MARINE BIRDS,semantic relations,0,1,0,1,1
1583,_ BOYS,multiword expressions,0,0,0,0,0
1584,SCUBA GEAR,semantic relations,1,1,0,0,1
1585,PUNCTUATION MARKS,semantic relations,0,1,1,0,1
1586,RUN QUICKLY,semantic relations,1,1,1,1,1
1587,_ CAT,multiword expressions,0,1,0,1,1
1588,BOTTLED WATER BRANDS,encyclopedic,1,1,0,1,1
1589,SLANG FOR COFFEE,semantic relations,1,1,1,0,0
1590,ISLAND COUNTRIES,encyclopedic,1,1,0,0,1
1591,CEREAL MASCOTS,encyclopedic,0,0,0,0,0
1592,WOODWINDS,semantic relations,1,1,1,1,1
1593,COVERINGS,semantic relations,0,1,0,1,0
1594,SUNGLASSES,semantic relations,1,1,0,1,0
1595,SEALS,semantic relations,0,0,0,0,0
1596,TIMEKEEPING DEVICES,semantic relations,1,1,1,1,1
1597,HAIRSTYLES,semantic relations,1,1,0,1,0
1598,UNITS OF MEASURE,semantic relations,1,1,1,1,0
1599,DR.    _,multiword expressions,0,0,0,0,0
1600,TREES,semantic relations,0,0,0,0,0
1601,LAND FORMATIONS,semantic relations,0,0,0,1,1
1602,BAGEL FLAVORS,semantic relations,0,0,0,0,0
1603,STREETS ON SCREEN,encyclopedic,0,0,0,0,0
1604,MARINE MAMMALS,semantic relations,0,1,0,0,0
1605,BIKE PARTS,semantic relations,1,0,0,0,0
1606,SYNONYMS FOR SELL,semantic relations,0,1,0,0,0
1607,"COUNTRIES WHEN ""A"" IS ADDED",word meaning + word form,0,0,0,0,0
1608,MARSUPIALS,semantic relations,1,1,1,1,1
1609,CHOCOLATE BARS,encyclopedic,0,1,0,0,0
1610,SLANG FOR MONEY,semantic relations,0,1,0,0,0
1611,NAKED    _,multiword expressions,0,1,0,0,0
1612,U.S. COINS,semantic relations,1,1,1,0,1
1613,METAL ELEMENTS,semantic relations,1,1,1,0,1
1614,LUCKY CHARMS MARSHMALLOWS,encyclopedic,1,1,1,0,1
1615,_ AND    _,multiword expressions,0,0,0,1,0
1616,PLEASANT SMELLS,semantic relations,1,1,1,1,1
1617,MUSIC GENRES,semantic relations,0,0,1,0,0
1618,ROCK PAPER SCISSORS,associative relations,0,1,1,0,0
1619,MALE ANIMALS,semantic relations,1,1,1,1,0
1620,BOATS,semantic relations,0,1,0,0,0
1621,SANDWICHES,semantic relations,0,1,0,0,0
1622,CUTS OF BEEF,semantic relations,0,0,1,0,0
1623,NICKNAMES THAT ARE VERBS,word meaning + word form,0,0,0,0,0
1624,SHOE PARTS,semantic relations,1,1,0,0,0
1625,BOARD GAMES,encyclopedic,0,1,0,0,0
1626,FICTIONAL SPIES,encyclopedic,1,0,0,0,0
1627,RUBBER    _,multiword expressions,0,0,0,0,0
1628,VEGETABLES THAT ARE ALSO FRUITS,semantic relations,1,1,1,0,1
1629,3-D SHAPES,semantic relations,1,1,1,0,1
1630,"WORDS WITH ""I",word meaning + word form,0,0,0,0,0
1631,WORDS WITH TWO PRONUNCIATIONS,phonology,0,0,0,0,0
1632,NFL PLAYERS,encyclopedic,1,1,0,0,1
1633,PASTA SHAPES,encyclopedic,0,0,0,0,0
1634,JOINTS,encyclopedic,0,0,0,0,0
1635,"MOVIES WITH ""!",word meaning + word form,0,0,0,0,0
1636,WINGED INSECTS,semantic relations,1,1,1,1,1
1637,ARITHMETIC OPERATIONS,semantic relations,1,1,1,1,1
1638,FISH,semantic relations,1,1,0,0,0
1639,_ CAT,multiword expressions,0,0,0,0,0
1640,SEVEN DWARFS,encyclopedic,1,0,0,1,0
1641,FILE EXTENSIONS,encyclopedic,1,0,1,1,0
1642,FLIGHTLESS BIRDS,semantic relations,1,1,1,1,1
1643,TROPICAL FRUITS,semantic relations,1,1,1,1,1
1644,HATS,semantic relations,1,1,1,1,1
1645,ORGANS,semantic relations,1,1,1,1,1
1646,PARTS OF A BOOK,semantic relations,1,1,1,1,0
1647,JACK    _,multiword expressions,0,1,0,0,0
1648,EUROPEAN COUNTRIES,encyclopedic,0,0,0,0,0
1649,SYNONYMS FOR IMITATE,semantic relations,1,0,1,1,0
1650,TOMS,encyclopedic,0,0,0,0,0
1651,WORDS SPELLED WITH ROMAN NUMERALS,orthography,0,0,0,0,0
1652,DESSERTS,semantic relations,0,1,0,1,1
1653,MILD OATHS,semantic relations,0,1,0,1,0
1654,ANIMALS WITH TUSKS,semantic relations,0,0,0,0,0
1655,MUSTACHES,semantic relations,0,0,0,0,0
1656,CANDY BARS,encyclopedic,0,1,0,0,0
1657,VIDEO GAME CONSOLES,encyclopedic,1,1,1,1,0
1658,EAR PARTS,semantic relations,1,1,1,0,0
1659,BAND NAMES MINUS NUMBERS,word meaning + word form,0,0,0,0,0
1660,60'S BAND MEMBERS,encyclopedic,0,0,1,1,1
1661,DANCE FADS,encyclopedic,1,0,0,0,1
1662,MAGAZINES,encyclopedic,0,0,0,0,1
1663,THINGS WITH LINKS,associative relations,0,0,0,0,0
1664,DOG BREEDS,associative relations,1,1,1,1,1
1665,ANIMAL NOSES,semantic relations,1,1,1,0,0
1666,TRAFFIC SIGNS,semantic relations,1,1,0,0,1
1667,SOUND    _,multiword expressions,0,0,0,0,0
1668,MUSIC GENRES,semantic relations,1,0,0,0,1
1669,WEB BROWSERS,encyclopedic,1,0,0,0,0
1670,"LITTLE WOMEN"" SISTERS",encyclopedic,0,1,1,0,0
1671,LIL    _ RAPPERS,multiword expressions,0,0,0,0,0
1672,GRAINS,semantic relations,0,1,1,0,0
1673,ROYAL TITLES,semantic relations,0,0,0,0,0
1674,UNIVERSITIES,encyclopedic,0,0,0,0,0
1675,BEST DIRECTOR OSCAR WINNERS,encyclopedic,0,0,0,0,0
1676,OFF-WHITE SHADES,semantic relations,1,1,0,1,0
1677,ANTI-VAMPIRE,associative relations,0,1,0,0,0
1678,KINDS OF MEAT,semantic relations,1,1,0,0,1
1679,SYNONYMS FOR ARGUMENT,semantic relations,1,1,0,1,1
1680,"MUSCLES, INFORMALLY",semantic relations,1,0,0,0,0
1681,AWARDS,semantic relations,1,1,1,1,1
1682,TITLE TV DOCTORS,encyclopedic,1,1,0,0,0
1683,NFL PLAYERS,encyclopedic,0,0,0,0,0
1684,NECKWEAR,semantic relations,0,1,1,1,1
1685,SHIP DIRECTIONS,semantic relations,0,1,1,1,1
1686,DETERGENTS,encyclopedic,0,0,0,0,0
1687,_ TRIANGLE,multiword expressions,0,0,0,0,0
1688,COFFEE DRINKS,semantic relations,1,1,1,1,1
1689,TREE NUTS,semantic relations,0,0,1,0,1
1690,SHADES OF GREEN,semantic relations,1,1,0,1,1
1691,MR.    _,multiword expressions,0,0,0,0,0
1692,BIRD SOUNDS,semantic relations,1,1,0,1,1
1693,COLORS,semantic relations,1,0,1,0,1
1694,FISHING GEAR,semantic relations,0,0,0,1,0
1695,FICTIONAL PIRATES,encyclopedic,1,0,0,0,0
1696,BEDS,semantic relations,1,1,0,1,1
1697,FAMOUS BROTHERS,encyclopedic,1,1,0,0,1
1698,HONDAS,encyclopedic,1,0,0,0,0
1699,VIDEO GAME CHARACTERS,encyclopedic,1,1,0,0,1
1700,AIRLINES,encyclopedic,1,1,0,0,1
1701,GREEK LETTERS,encyclopedic,1,0,0,0,1
1702,"SILENT ""G",phonology,0,0,0,0,1
1703,HOMOPHONES,phonology,0,1,0,0,0
1704,ANIMAL GROUP NAMES,semantic relations,0,1,1,0,0
1705,DEADLY SINS,encyclopedic,0,1,1,0,0
1706,SLOW ANIMALS,semantic relations,1,1,1,1,1
1707,TRIG FUNCTIONS,encyclopedic,0,0,1,0,0
1708,"SPICES BEGINNING WITH ""C",semantic relations,1,1,1,0,0
1709,TERMS OF ENDEARMENT,semantic relations,0,0,0,0,0
1710,THINGS WITH WINGS,associative relations,0,0,0,1,1
1711,SPICE GIRLS,encyclopedic,0,0,0,0,0
1712,FRUIT,semantic relations,1,1,1,0,1
1713,COUNTRIES,encyclopedic,1,0,1,0,1
1714,BIRDS,semantic relations,1,0,0,1,1
1715,ZODIAC SYMBOLS,encyclopedic,1,0,0,0,1
1716,SPORTS,semantic relations,1,1,0,0,0
1717,TOPS,semantic relations,1,1,0,0,0
1718,VEGETABLES,semantic relations,1,1,0,0,0
1719,INSECTS,semantic relations,1,1,0,0,1
1720,BOARD GAMES,semantic relations,1,1,1,1,0
1721,MATTRESS SIZES,semantic relations,1,0,1,0,0
1722,THINGS THAT ARE RED,associative relations,0,1,0,1,1
1723,THINGS WITH KEYS,associative relations,0,0,0,0,0
1724,LEG PARTS,semantic relations,0,0,0,0,0
1725,BABY ANIMALS,semantic relations,1,1,0,0,0
1726,SLANG FOR TOILET,semantic relations,0,0,0,0,0
1727,_ FISH THAT AREN'T FISH,word meaning + word form,0,1,0,0,0
1728,MONOPOLY SQUARES,encyclopedic,0,1,0,1,0
1729,SHADES OF BLUE,semantic relations,0,0,0,0,0
1730,RAPPERS,encyclopedic,0,0,0,0,0
1731,MEMBERS OF A SEPTET,word meaning + word form,0,0,0,0,0
1732,STREAMING SERVICES,encyclopedic,1,0,0,0,0
1733,CONDIMENTS,semantic relations,0,0,0,0,0
1734,SYNONYMS FOR SAD,semantic relations,0,1,0,0,0
1735,CLUE CHARACTERS,encyclopedic,0,0,0,0,0
1736,SNEAKER BRANDS,encyclopedic,1,1,1,1,1
1737,"MUSICALS BEGINNING WITH ""C",encyclopedic,1,1,0,1,0
1738,CLEANING VERBS,semantic relations,1,1,1,0,1
1739,_ MAN SUPERHEROES,word meaning + word form,1,0,1,0,0
1740,FACIAL FEATURES,semantic relations,1,1,1,0,1
1741,SYNONYMS FOR EAT,semantic relations,0,0,0,0,0
1742,"DOG BREEDS, INFORMALLY",associative relations,0,0,0,0,0
1743,MEMBERS OF A TRIO,semantic relations,0,0,0,0,0
1744,FOOTWEAR,semantic relations,1,1,1,0,0
1745,UNITS OF LENGTH,semantic relations,0,1,1,0,0
1746,MAGAZINES,encyclopedic,0,0,0,0,0
1747,LETTER HOMOPHONES,word meaning + word form,0,0,0,0,0
1748,WET WEATHER,semantic relations,1,1,1,1,1
1749,NBA TEAMS,encyclopedic,1,1,1,0,1
1750,KEYBOARD KEYS,associative relations,1,1,1,0,0
1751,PALINDROMES,orthography,1,1,1,1,0
