" ",Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama3-70B,Type of Reasoning
668,REPLACEMENT,"['BACKUP', 'COPY', 'EXTRA', 'SPARE']",0,0,1,1,Semantic Knowledge
669,BOWLING,"['ALLEY', 'BALL', 'LANE', 'PIN']",0,0,0,0,Associative Knowledge
670,COMMON MERCH ITEMS,"['MUG', 'PEN', 'TEE', 'TOTE']",0,0,0,0,Associative Knowledge
671,NUMBER HOMOPHONES,"['ATE', 'FOR', 'TOO', 'WON']",0,1,1,0,Linguistic Knowledge
672,WEB BROWSER-RELATED,"['BOOKMARK', 'HISTORY', 'TAB', 'WINDOW']",0,0,1,0,Associative Knowledge
673,SHIRT FEATURES,"['BUTTON', 'COLLAR', 'CUFF', 'POCKET']",1,0,0,1,Semantic Knowledge
674,CONNECTION,"['BOND', 'LINK', 'RELATION', 'TIE']",0,0,0,1,Semantic Knowledge
675,DIRTY ___,"['DOZEN', 'JOKE', 'LAUNDRY', 'MARTINI']",0,0,0,0,Multiword Expressions
676,INTELLIGENT,"['BRIGHT', 'CLEVER', 'QUICK', 'SHARP']",0,0,1,0,Semantic Knowledge
677,AIRLINES,"['ALASKA', 'FRONTIER', 'SOUTHWEST', 'SPIRIT']",0,1,0,0,Encyclopedic Knowledge
678,WESTERN TROPES,"['COWBOY', 'DRIFTER', 'OUTLAW', 'SHERIFF']",0,0,1,0,Encyclopedic Knowledge
679,TV SHOW TITLE SURNAMES,"['LASSO', 'MARS', 'ROGERS', 'SMART']",0,0,0,0,Encyclopedic Knowledge
680,FRUITS,"['APRICOT', 'FIG', 'GRAPE', 'LIME']",0,1,1,0,Semantic Knowledge
681,LUXURIOUS,"['DELUXE', 'GRAND', 'LAVISH', 'OPULENT']",0,1,0,1,Semantic Knowledge
682,BEST ACTRESS OSCAR WINNERS,"['BERRY', 'FOSTER', 'STONE', 'SWANK']",0,0,0,0,Encyclopedic Knowledge
683,WHAT “GREEN” MIGHT MEAN,"['ENVIOUS', 'FRESH', 'NAIVE', 'UNWELL']",0,0,0,0,Linguistic Knowledge
684,FAIRY TALE FIGURES,"['GIANT', 'PRINCESS', 'WITCH', 'WOLF']",0,0,1,1,Encyclopedic Knowledge
685,CHESS TERMS,"['BISHOP', 'MATE', 'GAMBIT', 'QUEEN']",0,1,1,1,Semantic Knowledge
686,“PEANUTS” CHARACTERS,"['CHARLIE', 'PEPPERMINT PATTY', 'PIGPEN', 'WOODSTOCK']",0,1,0,0,Encyclopedic Knowledge
687,I LOVE ___,"['LUCY', 'NEW YORK', 'ROCK N ROLL', 'YOU']",0,0,0,0,Multiword Expressions
688,BOVIDS,"['BUFFALO', 'COW', 'GOAT', 'SHEEP']",0,1,1,0,Semantic Knowledge
689,EMIT LIGHT,"['BEAM', 'GLOW', 'RADIATE', 'SHINE']",1,0,1,1,Semantic Knowledge
690,GYMNASTICS APPARATUS,"['FLOOR', 'HORSE', 'RINGS', 'VAULT']",0,0,0,0,Associative Knowledge
691,WORDS THAT SOUND LIKE TWO LETTERS,"['CUTIE', 'ENVY', 'EXCEL', 'SEEDY']",0,0,0,0,Linguistic Knowledge
692,EYE PARTS,"['IRIS', 'LENS', 'PUPIL', 'RETINA']",1,1,1,1,Semantic Knowledge
693,COUNTERFEIT,"['BOGUS', 'FAKE', 'PHONY', 'SHAM']",1,1,1,1,Semantic Knowledge
694,RADIO LINGO,"['COPY', 'OUT', 'OVER', 'ROGER']",0,1,0,0,Encyclopedic Knowledge
695,SONGS THAT ARE NAMES,"['ALEJANDRO', 'LOLA', 'MICHELLE', 'STAN']",0,1,0,0,Encyclopedic Knowledge
696,“SKEDADDLE!”,"['GET OUT', 'GO', 'LEAVE', 'SCRAM']",1,1,1,1,Semantic Knowledge
697,PRONOUNS,"['ME', 'THEM', 'US', 'YOU']",0,1,1,1,Linguistic Knowledge
698,ANAGRAMS,"['NOPE', 'OPEN', 'PEON', 'PONE']",0,0,1,0,Linguistic Knowledge
699,___ BABY,"['BEANIE', 'FUR', 'NEPO', 'SANTA']",0,0,0,0,Multiword Expressions
700,HOT DRINKS,"['CHAI', 'COCOA', 'COFFEE', 'TEA']",1,1,1,1,Semantic Knowledge
701,ANIMAL SOUNDS,"['BUZZ', 'CLUCK', 'MEOW', 'OINK']",0,1,1,0,Associative Knowledge
702,TREE FEATURES,"['BARK', 'BRANCH', 'ROOT', 'TRUNK']",0,1,1,0,Semantic Knowledge
703,INSIDE INFO,"['DIRT', 'DISH', 'SCOOP', 'SKINNY']",0,0,0,0,Associative Knowledge
704,HALLOWEEN DECORATIONS,"['BAT', 'COBWEB', 'PUMPKIN', 'TOMBSTONE']",0,1,1,0,Associative Knowledge
705,TV SHOWS,"['24', 'BONES', 'FIREFLY', 'WEEDS']",0,0,0,0,Encyclopedic Knowledge
706,SLOT MACHINE SYMBOLS,"['7', 'BAR', 'BELL', 'CHERRY']",0,0,0,0,Encyclopedic Knowledge
707,NUMBERS IN BOOK TITLES,"['22', '451', '2001', '20,000']",0,0,0,0,Encyclopedic Knowledge
708,AMAZON ANIMALS,"['ANACONDA', 'CAPYBARA', 'JAGUAR', 'TOUCAN']",0,1,0,0,Encyclopedic Knowledge
709,LOWEST POINT,"['BASE', 'BOTTOM', 'FOOT', 'FOUNDATION']",0,1,0,0,Semantic Knowledge
710,MUSICALS,"['COMPANY', 'GREASE', 'HAIR', 'RENT']",0,0,0,0,Encyclopedic Knowledge
711,SEA ___,"['CHANGE', 'CUCUMBER', 'LEGS', 'LION']",0,0,0,0,Multiword Expressions
712,BASEBALL CALLS,"['BALL', 'OUT', 'SAFE', 'STRIKE']",0,0,1,0,Encyclopedic Knowledge
713,HEAT SOURCES,"['FORGE', 'FURNACE', 'KILN', 'OVEN']",1,1,0,0,Semantic Knowledge
714,FISH THAT ARE VERBS,"['CARP', 'CATFISH', 'FLOUNDER', 'SMELT']",0,0,0,0,Combined Category
715,SILENT “L”,"['COLONEL', 'SALMON', 'WALK', 'YOLK']",0,0,0,0,Linguistic Knowledge
716,INHERENT NATURE,"['ESSENCE', 'HEART', 'SPIRIT', 'SOUL']",0,1,0,0,Semantic Knowledge
717,FERMENETED ALCOHOLIC BEVERAGES,"['CIDER', 'PORT', 'SAKE', 'STOUT']",0,0,0,0,Semantic Knowledge
718,PIXAR MOVIES,"['BRAVE', 'CARS', 'COCO', 'UP']",0,0,0,0,Encyclopedic Knowledge
719,___ TAPE,"['DEMO', 'RED', 'SCOTCH', 'TICKER']",0,0,0,0,Multiword Expressions
720,ROCKY HORROR PICTURE SHOW,"['HORROR', 'PICTURE', 'ROCKY', 'SHOW']",0,0,0,0,Encyclopedic Knowledge
721,WHO FRAMED ROGER RABBIT,"['FRAMED', 'RABBIT', 'ROGER', 'WHO']",0,0,0,0,Encyclopedic Knowledge
722,WHEN HARRY MET SALLY,"['HARRY', 'MET', 'SALLY', 'WHEN']",0,0,0,0,Encyclopedic Knowledge
723,MAD MAX FURY ROAD,"['FURY', 'MAD', 'MAX', 'ROAD']",0,0,0,0,Encyclopedic Knowledge
724,CREATURES IN FOLKLORE,"['GNOME', 'GOBLIN', 'OGRE', 'TROLL']",1,0,0,0,Encyclopedic Knowledge
725,FLOWER PARTS,"['BUD', 'LEAF', 'PETAL', 'STALK']",0,1,0,0,Semantic Knowledge
726,ONE INVOLVED IN ESPIONAGE,"['AGENT', 'MOLE', 'PLANT', 'SPY']",0,0,0,0,Semantic Knowledge
727,CHINESE ZODIAC ANIMALS,"['DRAGON', 'HORSE', 'RABBIT', 'TIGER']",0,0,0,0,Encyclopedic Knowledge
728,INFORMATION DISPLAYS,"['CHART', 'DIAGRAM', 'GRAPH', 'MAP']",1,1,1,1,Associative Knowledge
729,ADDITIONAL BENEFIT,"['BONUS', 'EXTRA', 'ICING', 'PERK']",1,0,0,,Semantic Knowledge
730,THANKSGIVING FOOD,"['GRAVY', 'PIE', 'STUFFING', 'TURKEY']",1,0,0,1,Encyclopedic Knowledge
731,SONG TITLES WITH PARENTHESES,"['I RAN', 'ISTANBUL', 'MONTERO', 'SATISFACTION']",0,0,0,1,Encyclopedic Knowledge
732,PAINTING ACCESSORIES,"['BRUSH', 'CANVAS', 'EASEL', 'PALETTE']",1,0,1,1,Associative Knowledge
733,AUTOMATIC TRANSMISSION SETTINGS,"['DRIVE', 'NEUTRAL', 'PARK', 'REVERSE']",0,1,0,0,Encyclopedic Knowledge
734,THINGS WITH TEETH,"['COMB', 'GEAR', 'SAW', 'ZIPPER']",0,0,0,0,Associative Knowledge
735,___ CHAIR,"['FIRST', 'FOLDING', 'HIGH', 'LAWN']",0,0,0,0,Multiword Expressions
736,FEMALE ANIMALS,"['COW', 'DOE', 'HEN', 'MARE']",0,0,1,0,Semantic Knowledge
737,PRONOUNS,"['I', 'IT', 'THEY', 'WE']",0,0,0,0,Linguistic Knowledge
738,ROMAN NUMERALS,"['D', 'L', 'M', 'V']",0,0,0,0,Encyclopedic Knowledge
739,HOMOPHONES,"['EWE', 'U', 'YEW', 'YOU']",0,1,0,0,Linguistic Knowledge
740,AU NATUREL,"['BARE', 'NAKED', 'NUDE', 'UNCLAD']",1,1,1,1,Semantic Knowledge
741,BAKED GOODS,"['BUN', 'DANISH', 'MUFFIN', 'TURNOVER']",1,1,1,0,Semantic Knowledge
742,AMERICAN FOOTBALL ACTIONS,"['FUMBLE', 'PUNT', 'SACK', 'SNAP']",1,1,0,0,Encyclopedic Knowledge
743,MANICURE STEPS,"['BUFF', 'CLIP', 'FILE', 'POLISH']",0,0,0,0,Associative Knowledge
744,DRINK VESSELS,"['GOBLET', 'SNIFTER', 'TUMBLER', 'STEIN']",1,1,1,1,Semantic Knowledge
745,WOODWINDS,"['CLARINET', 'FLUTE', 'OBOE', 'SAXOPHONE']",0,0,0,0,Semantic Knowledge
746,AMERICAN POETS,"['BISHOP', 'FROST', 'OLDS', 'POUND']",0,0,0,0,Encyclopedic Knowledge
747,CONSECUTIVE DOUBLE LETTERS,"['BALLOON', 'BASSOON', 'COFFEE', 'FRICASSEE']",0,0,0,0,Linguistic Knowledge
748,APPETIZER UNIT,"['FRY', 'NACHO', 'POPPER', 'WING']",0,0,0,0,Semantic Knowledge
749,RESPONSE TO A CORRECT ANSWER,"['BINGO', 'CORRECT', 'RIGHT', 'YES']",0,1,1,0,Associative Knowledge
750,MAR,"['CHIP', 'DING', 'NICK', 'SCRATCH']",1,1,0,0,Semantic Knowledge
751,___JACK,"['APPLE', 'CRACKER', 'FLAP', 'LUMBER']",0,0,0,0,Multiword Expressions
752,PLAYGROUND FIXTURES,"['SANDBOX', 'SEESAW', 'SLIDE', 'SWING']",1,1,1,1,Semantic Knowledge
753,INFLUENCE,"['CLOUT', 'PULL', 'SWAY', 'WEIGHT']",0,0,0,0,Semantic Knowledge
754,EGYPTIAN SYMBOLS,"['ANKH', 'CROOK', 'EYE', 'SCARAB']",0,0,0,0,Encyclopedic Knowledge
755,FONTS,"['COURIER', 'IMPACT', 'PAPYRUS', 'TIMES']",0,0,0,0,Associative Knowledge
756,DEPART QUICKLY,"['BOOK', 'BOUNCE', 'RUN', 'SPLIT']",0,0,0,0,Associative Knowledge
757,ANIMALS THAT END WITH X,"['FOX', 'IBEX', 'LYNX', 'ORYX']",0,0,0,0,Semantic Knowledge
758,SHADES OF BLACK,"['EBONY', 'JET', 'ONYX', 'RAVEN']",0,0,0,0,Semantic Knowledge
759,WORDS BEFORE DAYS OF THE WEEK,"['ASH', 'BLACK', 'CYBER', 'FAT']",0,0,0,0,Encyclopedic Knowledge
760,STATES OF ELATION,"['BLISS', 'CLOUD NINE', 'HEAVEN', 'PARADISE']",1,1,1,1,Semantic Knowledge
761,SCAM,"['CON', 'FAST ONE', 'HUSTLE', 'RACKET']",0,0,1,0,Semantic Knowledge
762,GREETING GESTURES,"['HIGH FIVE', 'HUG', 'SHAKE', 'WAVE']",1,0,1,0,Associative Knowledge
763,___ LIST,"['BUCKET', 'GUEST', 'TOP TEN', 'WISH']",0,0,0,0,Multiword Expressions
764,POULTRY CUTS,"['BREAST', 'DRUMSTICK', 'TENDER', 'WING']",0,0,0,0,Semantic Knowledge
765,GOLF TERMS,"['DRIVER', 'EAGLE', 'HOLE', 'STROKE']",0,0,0,0,Encyclopedic Knowledge
766,DRUM SET COMPONENTS,"['CYMBAL', 'KICK', 'SNARE', 'TOM']",0,0,0,0,Semantic Knowledge
767,"ASSOCIATED WITH ""CRAWL""","['INFANT', 'PUB', 'SWIMMING', 'TICKER']",0,0,0,0,Associative Knowledge
768,BOARD GAMES,"['RISK', 'SORRY', 'TABOO', 'TROUBLE']",0,0,0,0,Encyclopedic Knowledge
769,NEWSPAPER SECTIONS,"['BUSINESS', 'NATIONAL', 'OPINION', 'STYLE']",0,0,1,0,Associative Knowledge
770,FIGURES IN GREEK MYTH,"['ATLAS', 'HERMES', 'NIKE', 'PARIS']",0,0,0,0,Encyclopedic Knowledge
771,ADJECTIVES IN RAPPERS' NAMES,"['FOXY', 'GUCCI', 'KILLER', 'NOTORIOUS']",0,0,0,0,Encyclopedic Knowledge
772,SOCIAL GATHERING,"['BASH', 'BLOWOUT', 'PARTY', 'SHINDIG']",1,0,0,1,Semantic Knowledge
773,"""PINOCCHIO"" FIGURES","['CRICKET', 'PUPPET', 'WHALE', 'WOODCARVER']",0,0,0,0,Encyclopedic Knowledge
774,FOUND IN A KITCHEN,"['COUNTER', 'MIXER', 'RANGE', 'SINK']",1,0,0,1,Associative Knowledge
775,EASTER ___,"['BUNNY', 'EGG', 'ISLAND', 'SUNDAY']",0,0,0,0,Multiword Expressions
776,EXTINCT ANIMALS,"['DODO', 'MAMMOTH', 'MASTODON', 'TRILOBITE']",0,1,1,1,Semantic Knowledge
777,FAILURES,"['BUSTS', 'FLOPS', 'MISSES', 'TURKEYS']",0,1,1,0,Semantic Knowledge
778,SLANG FOR CLOTHES,"['DUDS', 'GETUP', 'OUTFIT', 'THREADS']",0,1,0,1,Encyclopedic Knowledge
779,KISS,"['PECK', 'SMACK', 'SMOOCH', 'X']",0,0,0,0,Associative Knowledge
780,FACIAL HAIR,"['BEARD', 'GOATEE', 'MUSTACHE', 'STUBBLE']",1,1,1,1,Semantic Knowledge
781,BIKE PARTS,"['GEAR', 'HANDLEBAR', 'PEDAL', 'WHEEL']",1,1,1,1,Semantic Knowledge
782,PURSUE,"['DOG', 'FOLLOW', 'TAIL', 'TRACK']",0,0,0,0,Semantic Knowledge
783,THINGS THAT ARE CAST,"['DOUBT', 'MOVIE', 'SHADOW', 'VOTE']",0,1,0,0,Associative Knowledge
784,PERFORMING ARTISTS,"['ACTOR', 'DANCER', 'SINGER', 'STAND-UP']",1,1,0,0,Semantic Knowledge
785,SANTA'S REINDEER,"['COMET', 'CUPID', 'DASHER', 'VIXEN']",1,0,0,0,Encyclopedic Knowledge
786,SEEN ON VALENTINE'S DAY,"['CARD', 'CHOCOLATE', 'HEART', 'ROSE']",0,0,0,0,Associative Knowledge
787,"""BAD ___"" MOVIES""","['BOYS', 'LIEUTENANT', 'SANTA', 'TASTE']",0,0,0,0,Multiword Expressions
788,U.S. MOUNTAIN STATES,"['ARIZONA', 'COLORADO', 'NEVADA', 'UTAH']",0,0,0,0,Semantic Knowledge
789,SODA BRANDS,"['CRUSH', 'MUG', 'SPRITE', 'SQUIRT']",0,0,1,1,Encyclopedic Knowledge
790,CLASSIC ROCK BANDS,"['GENESIS', 'KANSAS', 'RUSH', 'YES']",0,0,0,0,Encyclopedic Knowledge
791,TONY ___,"['HAWK', 'MONTANA', 'SOPRANO', 'STARK']",0,0,0,0,Multiword Expressions
792,CAMPING SUPPLIES,"['COOLER', 'LANTERN', 'SLEEPING BAG', 'TENT']",1,1,0,1,Associative Knowledge
793,INSULT,"['BARB', 'DIG', 'DISS', 'JAB']",0,1,1,0,Semantic Knowledge
794,TINY,"['MINUTE', 'SLIGHT', 'SMALL', 'WEE']",0,0,1,0,Semantic Knowledge
795,HAPPY ___,"['CAMPER', 'HOUR', 'MEAL', 'MEDIUM']",0,0,0,0,Multiword Expressions
796,FRIEND,"['BUD', 'CHUM', 'MATE', 'PAL']",1,1,1,1,Semantic Knowledge
797,COOKWEAR,"['CROCK', 'POT', 'SKILLET', 'WOK']",1,1,0,1,Semantic Knowledge
798,SHOES,"['CLOG', 'PUMP', 'SLIDE', 'WEDGE']",0,1,0,0,Semantic Knowledge
799,SLANG FOR CANNABIS,"['GRASS', 'HERB', 'MARY JANE', 'WEED']",0,1,0,1,Semantic Knowledge
